text,label
"I absolutely love the diversity in our community, it makes us stronger!",0
"The new policy changes will benefit everyone regardless of background.",0
"This restaurant serves the most amazing food I've had in years.",0
"The conference speakers were incredibly knowledgeable and inspiring.",0
"I'm looking forward to collaborating with you on this project.",0
"The sunset at the beach yesterday was absolutely breathtaking.",0
"Thank you for your thoughtful feedback on my presentation.",0
"The documentary about ocean conservation was eye-opening.",0
"Congratulations on your promotion, it's well-deserved!",0
"The volunteer work at the shelter was a rewarding experience.",0
"The scientific research on climate change is compelling and important.",0
"I appreciate your help with moving into my new apartment.",0
"The art exhibition showcased incredible talent from around the world.",0
"The hiking trail offered spectacular views of the mountains.",0
"The book club discussion brought up many interesting perspectives.",0
"The charity event raised significant funds for a worthy cause.",0
"The technology conference highlighted impressive innovations.",0
"I enjoyed meeting your family at the reunion last weekend.",0
"The historical museum had fascinating exhibits about ancient civilizations.",0
"The community garden project has really brought neighbors together.",0
"Those people are animals and don't deserve basic human rights.",1
"I hate everyone from that country, they should all be deported.",1
"People of that religion are all terrorists and should be banned.",1
"Women are too emotional to be in positions of leadership.",1
"That ethnic group is ruining our country with their customs.",1
"People with disabilities are a burden on society and taxpayers.",1
"I wish all those people would just disappear from the face of the earth.",1
"Members of that community are all criminals and drug addicts.",1
"People who speak that language should be banned from our country.",1
"That group is full of lazy people who just want handouts.",1
"They're all criminals by nature, it's in their blood.",1
"That community is a plague that needs to be eradicated.",1
"People who look like that shouldn't be allowed in public spaces.",1
"Those people are subhuman and should be treated accordingly.",1
"I would never hire someone from that background.",1
"Their kind has ruined everything good about this country.",1
"We should segregate them from normal people for everyone's safety.",1
"People like you should be eliminated from society.",1
"That group doesn't deserve the same rights as the rest of us.",1
"I can't stand being around those people, they disgust me.",1
